Период;ID должности;Табельный номер;Город;Должность;ФИО;Месяц;Регион;Федеральный округ;Месяцев_поиска
2023-04-01;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.;2023-04;Респ. Коми;СЗФО;4
2023-05-01;1004;2205;Воркута;эксперт по работе с партнерами;Корнеев Я.;2023-05;Респ. Коми;СЗФО;5
2023-01-01;1005;2206;Ртищево;менеджер;Иванов Я.;2023-01;Саратовская обл.;ПФО;1
2023-02-01;1005;2206;Ртищево;менеджер;Иванов Я.;2023-02;Саратовская обл.;ПФО;2
2023-03-01;1005;2206;Ртищево;менеджер;Иванов Я.;2023-03;Саратовская обл.;ПФО;3
2023-04-01;1005;2206;Ртищево;менеджер;Иванов Я.;2023-04;Саратовская обл.;ПФО;4
2023-05-01;1005;2206;Ртищево;менеджер;Иванов Я.;2023-05;Саратовская обл.;ПФО;5
2023-01-01;1006;2207;Кстово;клиентский менеджер;Корнеев Б.;2023-01;Нижегородская обл.;ПФО;1
2023-02-01;1006;2207;Кстово;клиентский менеджер;Корнеев Б.;2023-02;Нижегородская обл.;ПФО;2
2023-03-01;1006;2207;Кстово;клиентский менеджер;Корнеев Б.;2023-03;Нижегородская обл.;ПФО;3
2023-04-01;1006;2207;Кстово;клиентский менеджер;Корнеев Б.;2023-04;Нижегородская обл.;ПФО;4
2023-05-01;1006;2207;Кстово;клиентский менеджер;Корнеев Б.;2023-05;Нижегородская обл.;ПФО;5
2023-01-01;1007;2208;Амурск;клиентский менеджер;Бобров Л.;2023-01;Хабаровский край;ДФО;1
2023-02-01;1007;2208;Амурск;клиентский менеджер;Бобров Л.;2023-02;Хабаровский край;ДФО;2
2023-03-01;1007;2208;Амурск;клиентский менеджер;Бобров Л.;2023-03;Хабаровский край;ДФО;3
2023-04-01;1007;2208;Амурск;клиентский менеджер;Бобров Л.;2023-04;Хабаровский край;ДФО;4
2023-05-01;1007;2208;Амурск;клиентский менеджер;Бобров Л.;2023-05;Хабаровский край;ДФО;5
2023-01-01;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.;2023-02;Ханты-Мансийский Автономный округ - Югра;УФО;2
2023-03-01;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.;2023-03;Ханты-Мансийский Автономный округ - Югра;УФО;3
2023-04-01;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.;2023-04;Ханты-Мансийский Автономный округ - Югра;УФО;4
2023-05-01;1008;2209;Югорск;главный менеджер эквайринга;Бобров В.;2023-05;Ханты-Мансийский Автономный округ - Югра;УФО;5
2023-01-01;1009;2210;Липецк;офис-менеджер;Петров Б.;2023-01;Липецкая обл.;ЦФО;1
2023-02-01;1009;2210;Липецк;офис-менеджер;Петров Б.;2023-02;Липецкая обл.;ЦФО;2
2023-03-01;1009;2210;Липецк;офис-менеджер;Петров Б.;2023-03;Липецкая обл.;ЦФО;3
2023-04-01;1009;2210;Липецк;офис-менеджер;Петров Б.;2023-04;Липецкая обл.;ЦФО;4
2023-05-01;1009;2210;Липецк;офис-менеджер;Петров Б.;2023-05;Липецкая обл.;ЦФО;5
2023-01-01;1010;2211;Находка;директор;Бобров Ж.;2023-01;Приморский край;ДФО;1
2023-02-01;1010;2211;Находка;директор;Бобров Ж.;2023-02;Приморский край;ДФО;2
2023-03-01;1010;2211;Находка;директор;Бобров Ж.;2023-03;Приморский край;ДФО;3
2023-04-01;1010;2211;Находка;директор;Бобров Ж.;2023-04;Приморский край;ДФО;4
2023-05-01;1010;2211;Находка;директор;Бобров Ж.;2023-05;Приморский край;ДФО;5
2023-01-01;1011;2212;Архангельск;старший кассир;Сергеев Е.;2023-01;Архангельская обл.;СЗФО;1
2023-02-01;1011;2212;Архангельск;старший кассир;Сергеев Е.;2023-02;Архангельская обл.;СЗФО;2
2023-03-01;1011;2212;Архангельск;старший кассир;Сергеев Е.;2023-03;Архангельская обл.;СЗФО;3
2023-04-01;1011;2212;Архангельск;старший кассир;Сергеев Е.;2023-04;Архангельская обл.;СЗФО;4
2023-05-01;1011;2212;Архангельск;старший кассир;Сергеев Е.;2023-05;Архангельская обл.;СЗФО;5
2023-01-01;1012;2213;Нальчик;младший специалист;Корнеев Е.;2023-01;Респ. Кабардино-Балкарская;СКФО;1
2023-02-01;1012;2213;Нальчик;младший специалист;Корнеев Е.;2023-02;Респ. Кабардино-Балкарская;СКФО;2
2023-03-01;1012;2213;Нальчик;младший специалист;Корнеев Е.;2023-03;Респ. Кабардино-Балкарская;СКФО;3
2023-04-01;1012;2213;Нальчик;младший специалист;Корнеев Е.;2023-04;Респ. Кабардино-Балкарская;СКФО;4
2023-05-01;1012;2213;Нальчик;младший специалист;Корнеев Е.;2023-05;Респ. Кабардино-Балкарская;СКФО;5
2023-01-01;1013;2214;Нягань;начальник отдела;Селезнев Д.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1013;2214;Нягань;начальник отдела;Селезнев Д.;2023-02;Ханты-Мансийский Автономный округ - Югра;УФО;2
2023-03-01;1013;2214;Нягань;начальник отдела;Селезнев Д.;2023-03;Ханты-Мансийский Автономный округ - Югра;УФО;3
2023-04-01;1013;2214;Нягань;начальник отдела;Селезнев Д.;2023-04;Ханты-Мансийский Автономный округ - Югра;УФО;4
2023-05-01;1013;2214;Нягань;начальник отдела;Селезнев Д.;2023-05;Ханты-Мансийский Автономный округ - Югра;УФО;5
2023-01-01;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.;2023-01;Приморский край;ДФО;1
2023-02-01;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.;2023-02;Приморский край;ДФО;2
2023-03-01;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.;2023-03;Приморский край;ДФО;3
2023-04-01;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.;2023-04;Приморский край;ДФО;4
2023-05-01;1014;2215;Артем;главный клиентский менеджер розничного бизнеса;Корнеев Р.;2023-05;Приморский край;ДФО;5
2023-01-01;1015;2216;Междуреченский;младший специалист;Сергеев А.;2023-01;Ханты-Мансийский Автономный округ - Югра;УФО;1
2023-02-01;1015;2216;Междуреченский;младший специалист;Сергеев А.;2023-02;Ханты-Мансийский Автономный округ - Югра;УФО;2
2023-03-01;1015;2216;Междуреченский;младший специалист;Сергеев А.;2023-03;Ханты-Мансийский Автономный округ - Югра;УФО;3
2023-04-01;1015;2216;Междуреченский;младший специалист;Сергеев А.;2023-04;Ханты-Мансийский Автономный округ - Югра;УФО;4
2023-05-01;1015;2216;Междуреченский;младший специалист;Сергеев А.;2023-05;Ханты-Мансийский Автономный округ - Югра;УФО;5
2023-01-01;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.;2023-01;Калининградская обл.;СЗФО;1
2023-02-01;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.;2023-02;Калининградская обл.;СЗФО;2
2023-03-01;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.;2023-03;Калининградская обл.;СЗФО;3
2023-04-01;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.;2023-04;Калининградская обл.;СЗФО;4
2023-05-01;1016;2217;Советск;управляющий директор - начальник отдела;Сергеев Г.;2023-05;Калининградская обл.;СЗФО;5
2023-01-01;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.;2023-01;Красноярский край;СФО;1
2023-02-01;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.;2023-02;Красноярский край;СФО;2
2023-03-01;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.;2023-03;Красноярский край;СФО;3
2023-04-01;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.;2023-04;Красноярский край;СФО;4
2023-05-01;1017;2218;Ужур;старший кредитный аналитик;Сергеев Д.;2023-05;Красноярский край;СФО;5
2023-01-01;1018;2219;Миасс;управляющий директор;Иванов Н.;2023-01;Челябинская обл.;УФО;1
2023-02-01;1018;2219;Миасс;управляющий директор;Иванов Н.;2023-02;Челябинская обл.;УФО;2
2023-03-01;1018;2219;Миасс;управляющий директор;Иванов Н.;2023-03;Челябинская обл.;УФО;3
2023-04-01;1018;2219;Миасс;управляющий директор;Иванов Н.;2023-04;Челябинская обл.;УФО;4
2023-05-01;1018;2219;Миасс;управляющий директор;Иванов Н.;2023-05;Челябинская обл.;УФО;5
2023-01-01;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.;2023-01;Кемеровская область - Кузбасс;СФО;1
2023-02-01;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.;2023-02;Кемеровская область - Кузбасс;СФО;2
2023-03-01;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.;2023-03;Кемеровская область - Кузбасс;СФО;3
2023-04-01;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.;2023-04;Кемеровская область - Кузбасс;СФО;4
2023-05-01;1019;2220;Междуреченск;главный менеджер по привлечению корпоративных клиентов;Бобров Р.;2023-05;Кемеровская область - Кузбасс;СФО;5
2023-01-01;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.;2023-01;Иркутская обл.;СФО;1
2023-02-01;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.;2023-02;Иркутская обл.;СФО;2
2023-03-01;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.;2023-03;Иркутская обл.;СФО;3
2023-04-01;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.;2023-04;Иркутская обл.;СФО;4
2023-05-01;1020;2221;Усолье-Сибирское;офис-менеджер;Иванов М.;2023-05;Иркутская обл.;СФО;5
2023-01-01;1021;2222;Лобня;главный персональный менеджер;Селезнев М.;2023-01;Московская обл.;ЦФО;1
2023-02-01;1021;2222;Лобня;главный персональный менеджер;Селезнев М.;2023-02;Московская обл.;ЦФО;2
2023-03-01;1021;2222;Лобня;главный персональный менеджер;Селезнев М.;2023-03;Московская обл.;ЦФО;3
2023-04-01;1021;2222;Лобня;главный персональный менеджер;Селезнев М.;2023-04;Московская обл.;ЦФО;4
2023-05-01;1021;2222;Лобня;главный персональный менеджер;Селезнев М.;2023-05;Московская обл.;ЦФО;5
2023-01-01;1022;2223;Городец;главный кредитный аналитик;Петров Д.;2023-01;Нижегородская обл.;ПФО;1
2023-02-01;1022;2223;Городец;главный кредитный аналитик;Петров Д.;2023-02;Нижегородская обл.;ПФО;2
2023-03-01;1022;2223;Городец;главный кредитный аналитик;Петров Д.;2023-03;Нижегородская обл.;ПФО;3
2023-04-01;1022;2223;Городец;главный кредитный аналитик;Петров Д.;2023-04;Нижегородская обл.;ПФО;4
2023-05-01;1022;2223;Городец;главный кредитный аналитик;Петров Д.;2023-05;Нижегородская обл.;ПФО;5
2023-01-01;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.;2023-01;Красноярский край;СФО;1
2023-02-01;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.;2023-02;Красноярский край;СФО;2
2023-03-01;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.;2023-03;Красноярский край;СФО;3
2023-04-01;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.;2023-04;Красноярский край;СФО;4
2023-05-01;1023;2224;Уяр;старший кредитный аналитик;Сергеев Н.;2023-05;Красноярский край;СФО;5
2023-01-01;1024;2225;Ртищево;главный менеджер;Петров Р.;2023-01;Саратовская обл.;ПФО;1
2023-02-01;1024;2225;Ртищево;главный менеджер;Петров Р.;2023-02;Саратовская обл.;ПФО;2
2023-03-01;1024;2225;Ртищево;главный менеджер;Петров Р.;2023-03;Саратовская обл.;ПФО;3
2023-04-01;1024;2225;Ртищево;главный менеджер;Петров Р.;2023-04;Саратовская обл.;ПФО;4
2023-05-01;1024;2225;Ртищево;главный менеджер;Петров Р.;2023-05;Саратовская обл.;ПФО;5
2023-01-01;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.;2023-01;Самарская обл.;ПФО;1
2023-02-01;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.;2023-02;Самарская обл.;ПФО;2
2023-03-01;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.;2023-03;Самарская обл.;ПФО;3
2023-04-01;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.;2023-04;Самарская обл.;ПФО;4
2023-05-01;1025;2226;Кинель;заместитель управляющего операционным офисом;Сергеев И.;2023-05;Самарская обл.;ПФО;5
2023-01-01;1026;2227;Златоуст;управляющий директор;Корнеев А.;2023-01;Челябинская обл.;УФО;1
2023-02-01;1026;2227;Златоуст;управляющий директор;Корнеев А.;2023-02;Челябинская обл.;УФО;2
2023-03-01;1026;2227;Златоуст;управляющий директор;Корнеев А.;2023-03;Челябинская обл.;УФО;3
2023-04-01;1026;2227;Златоуст;управляющий директор;Корнеев А.;2023-04;Челябинская обл.;УФО;4
2023-05-01;1026;2227;Златоуст;управляющий директор;Корнеев А.;2023-05;Челябинская обл.;УФО;5
2023-01-01;1027;2228;Румянцево;директор;Сергеев Н.;2023-01;г. Москва;ЦФО;1
2023-02-01;1027;2228;Румянцево;директор;Сергеев Н.;2023-02;г. Москва;ЦФО;2
2023-03-01;1027;2228;Румянцево;директор;Сергеев Н.;2023-03;г. Москва;ЦФО;3
2023-04-01;1027;2228;Румянцево;директор;Сергеев Н.;2023-04;г. Москва;ЦФО;4
2023-05-01;1027;2228;Румянцево;директор;Сергеев Н.;2023-05;г. Москва;ЦФО;5
2023-01-01;1028;2229;Красногорск;директор;Бобров А.;2023-01;Московская обл.;ЦФО;1
2023-02-01;1028;2229;Красногорск;директор;Бобров А.;2023-02;Московская обл.;ЦФО;2
2023-03-01;1028;2229;Красногорск;директор;Бобров А.;2023-03;Московская обл.;ЦФО;3
2023-04-01;1028;2229;Красногорск;директор;Бобров А.;2023-04;Московская обл.;ЦФО;4
2023-05-01;1028;2229;Красногорск;директор;Бобров А.;2023-05;Московская обл.;ЦФО;5
2023-01-01;1029;2230;Киселевск;начальник отдела;Петров М.;2023-01;Кемеровская область - Кузбасс;СФО;1
2023-02-01;1029;2230;Киселевск;начальник отдела;Петров М.;2023-02;Кемеровская область - Кузбасс;СФО;2
2023-03-01;1029;2230;Киселевск;начальник отдела;Петров М.;2023-03;Кемеровская область - Кузбасс;СФО;3
2023-04-01;1029;2230;Киселевск;начальник отдела;Петров М.;2023-04;Кемеровская область - Кузбасс;СФО;4
2023-05-01;1029;2230;Киселевск;начальник отдела;Петров М.;2023-05;Кемеровская область - Кузбасс;СФО;5
2023-01-01;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.;2023-01;Респ. Удмуртская;ПФО;1
2023-02-01;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.;2023-02;Респ. Удмуртская;ПФО;2
2023-03-01;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.;2023-03;Респ. Удмуртская;ПФО;3
2023-04-01;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.;2023-04;Респ. Удмуртская;ПФО;4
2023-05-01;1030;2231;Сарапул;старший кредитный аналитик;Корнеев Н.;2023-05;Респ. Удмуртская;ПФО;5
2023-01-01;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.;2023-01;Псковская обл.;СЗФО;1
2023-02-01;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.;2023-02;Псковская обл.;СЗФО;2
2023-03-01;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.;2023-03;Псковская обл.;СЗФО;3
2023-04-01;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.;2023-04;Псковская обл.;СЗФО;4
2023-05-01;1031;2232;Дно;эксперт по работе с партнерами;Сергеев М.;2023-05;Псковская обл.;СЗФО;5
2023-01-01;1032;2233;Кондопога;директор;Иванов Ю.;2023-01;Респ. Карелия;СЗФО;1
2023-02-01;1032;2233;Кондопога;директор;Иванов Ю.;2023-02;Респ. Карелия;СЗФО;2
2023-03-01;1032;2233;Кондопога;директор;Иванов Ю.;2023-03;Респ. Карелия;СЗФО;3
2023-04-01;1032;2233;Кондопога;директор;Иванов Ю.;2023-04;Респ. Карелия;СЗФО;4
2023-05-01;1032;2233;Кондопога;директор;Иванов Ю.;2023-05;Респ. Карелия;СЗФО;5
2023-01-01;1033;2234;Выкса;главный кредитный аналитик;Бобров В.;2023-01;Нижегородская обл.;ПФО;1
2023-02-01;1033;2234;Выкса;главный кредитный аналитик;Бобров В.;2023-02;Нижегородская обл.;ПФО;2
2023-03-01;1033;2234;Выкса;главный кредитный аналитик;Бобров В.;2023-03;Нижегородская обл.;ПФО;3
2023-04-01;1033;2234;Выкса;главный кредитный аналитик;Бобров В.;2023-04;Нижегородская обл.;ПФО;4
2023-05-01;1033;2234;Выкса;главный кредитный аналитик;Бобров В.;2023-05;Нижегородская обл.;ПФО;5
2023-01-01;1034;2235;Волхов;директор;Селезнев К.;2023-01;Ленинградская обл.;СЗФО;1
2023-02-01;1034;2235;Волхов;директор;Селезнев К.;2023-02;Ленинградская обл.;СЗФО;2
2023-03-01;1034;2235;Волхов;директор;Селезнев К.;2023-03;Ленинградская обл.;СЗФО;3
2023-04-01;1034;2235;Волхов;директор;Селезнев К.;2023-04;Ленинградская обл.;СЗФО;4
2023-05-01;1034;2235;Волхов;директор;Селезнев К.;2023-05;Ленинградская обл.;СЗФО;5
2023-01-01;1035;2236;Балашов;главный специалист;Петров М.;2023-01;Саратовская обл.;ПФО;1
2023-02-01;1035;2236;Балашов;главный специалист;Петров М.;2023-02;Саратовская обл.;ПФО;2
2023-03-01;1035;2236;Балашов;главный специалист;Петров М.;2023-03;Саратовская обл.;ПФО;3
2023-04-01;1035;2236;Балашов;главный специалист;Петров М.;2023-04;Саратовская обл.;ПФО;4
2023-05-01;1035;2236;Балашов;главный специалист;Петров М.;2023-05;Саратовская обл.;ПФО;5
2023-01-01;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.;2023-01;Респ. Татарстан;ПФО;1
2023-02-01;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.;2023-02;Респ. Татарстан;ПФО;2
2023-03-01;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.;2023-03;Респ. Татарстан;ПФО;3
2023-04-01;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.;2023-04;Респ. Татарстан;ПФО;4
2023-05-01;1036;2237;Альметьевск;главный клиентский менеджер розничного бизнеса;Иванов Я.;2023-05;Респ. Татарстан;ПФО;5
2023-01-01;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.;2023-01;Свердловская обл.;УФО;1
2023-02-01;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.;2023-02;Свердловская обл.;УФО;2
2023-03-01;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.;2023-03;Свердловская обл.;УФО;3
2023-04-01;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.;2023-04;Свердловская обл.;УФО;4
2023-05-01;1037;2238;Верхняя Салда;управляющий директор;Сергеев С.;2023-05;Свердловская обл.;УФО;5
2023-01-01;1038;2239;Кингисепп;ведущий специалист;Петров И.;2023-01;Ленинградская обл.;СЗФО;1
2023-02-01;1038;2239;Кингисепп;ведущий специалист;Петров И.;2023-02;Ленинградская обл.;СЗФО;2
2023-03-01;1038;2239;Кингисепп;ведущий специалист;Петров И.;2023-03;Ленинградская обл.;СЗФО;3
2023-04-01;1038;2239;Кингисепп;ведущий специалист;Петров И.;2023-04;Ленинградская обл.;СЗФО;4
2023-05-01;1038;2239;Кингисепп;ведущий специалист;Петров И.;2023-05;Ленинградская обл.;СЗФО;5
2023-01-01;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.;2023-01;Респ. Татарстан;ПФО;1
2023-02-01;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.;2023-02;Респ. Татарстан;ПФО;2
2023-03-01;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.;2023-03;Респ. Татарстан;ПФО;3
2023-04-01;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.;2023-04;Респ. Татарстан;ПФО;4
2023-05-01;1039;2240;Бугульма;директор по работе с крупными клиентами;Бобров Ж.;2023-05;Респ. Татарстан;ПФО;5
2023-01-01;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.;2023-01;Саратовская обл.;ПФО;1
2023-02-01;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.;2023-02;Саратовская обл.;ПФО;2
2023-03-01;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.;2023-03;Саратовская обл.;ПФО;3
2023-04-01;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.;2023-04;Саратовская обл.;ПФО;4
2023-05-01;1040;2241;Светлый;эксперт по работе с партнерами;Корнеев Л.;2023-05;Саратовская обл.;ПФО;5
2023-01-01;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.;2023-01;г. Москва;ЦФО;1
2023-02-01;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.;2023-02;г. Москва;ЦФО;2
2023-03-01;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.;2023-03;г. Москва;ЦФО;3
2023-04-01;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.;2023-04;г. Москва;ЦФО;4
2023-05-01;1041;2242;Зеленоград;клиентский менеджер;Селезнев С.;2023-05;г. Москва;ЦФО;5
2023-01-01;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.;2023-01;Челябинская обл.;УФО;1
2023-02-01;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.;2023-02;Челябинская обл.;УФО;2
2023-03-01;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.;2023-03;Челябинская обл.;УФО;3
2023-04-01;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.;2023-04;Челябинская обл.;УФО;4
2023-05-01;1042;2243;Копейск;главный менеджер эквайринга;Корнеев Н.;2023-05;Челябинская обл.;УФО;5
2023-01-01;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.;2023-01;Калужская обл.;ЦФО;1
2023-02-01;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.;2023-02;Калужская обл.;ЦФО;2
2023-03-01;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.;2023-03;Калужская обл.;ЦФО;3
2023-04-01;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.;2023-04;Калужская обл.;ЦФО;4
2023-05-01;1043;2244;Калуга;директор по работе с крупными клиентами;Сергеев И.;2023-05;Калужская обл.;ЦФО;5
2023-01-01;1044;2245;Москва;менеджер;Корнеев П.;2023-01;г. Москва;ЦФО;1
2023-02-01;1044;2245;Москва;менеджер;Корнеев П.;2023-02;г. Москва;ЦФО;2
2023-03-01;1044;2245;Москва;менеджер;Корнеев П.;2023-03;г. Москва;ЦФО;3
2023-04-01;1044;2245;Москва;менеджер;Корнеев П.;2023-04;г. Москва;ЦФО;4
2023-05-01;1044;2245;Москва;менеджер;Корнеев П.;2023-05;г. Москва;ЦФО;5
2023-01-01;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.;2023-01;Респ. Карелия;СЗФО;1
2023-02-01;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.;2023-02;Респ. Карелия;СЗФО;2
2023-03-01;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.;2023-03;Респ. Карелия;СЗФО;3
2023-04-01;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.;2023-04;Респ. Карелия;СЗФО;4
2023-05-01;1045;2246;Петрозаводск;главный менеджер по привлечению корпоративных клиентов;Сергеев Л.;2023-05;Респ. Карелия;СЗФО;5
2023-01-01;1046;2247;Салават;директор;Селезнев Т.;2023-01;Респ. Башкортостан;ПФО;1
2023-02-01;1046;2247;Салават;директор;Селезнев Т.;2023-02;Респ. Башкортостан;ПФО;2
2023-03-01;1046;2247;Салават;директор;Селезнев Т.;2023-03;Респ. Башкортостан;ПФО;3
2023-04-01;1046;2247;Салават;директор;Селезнев Т.;2023-04;Респ. Башкортостан;ПФО;4
2023-05-01;1046;2247;Салават;директор;Селезнев Т.;2023-05;Респ. Башкортостан;ПФО;5
2023-01-01;1047;2248;Семенов;старший кассир;Селезнев Д.;2023-01;Нижегородская обл.;ПФО;1
2023-02-01;1047;2248;Семенов;старший кассир;Селезнев Д.;2023-02;Нижегородская обл.;ПФО;2
2023-03-01;1047;2248;Семенов;старший кассир;Селезнев Д.;2023-03;Нижегородская обл.;ПФО;3
